{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 4}, 0.23048917300095173
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 5}, 0.2352241290250813
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 3}, 0.2331862866450427
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 4}, 0.2241556657259201
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 5}, 0.22621966676549093
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 3}, 0.2251434892329272
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 4}, 0.23061450039341072
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 5}, 0.23434033684346356
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 3}, 0.2260070379600186
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 4}, 0.23021055790888986
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 5}, 0.23471590074939663
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 3}, 0.23417307266645446
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 4}, 0.22421400793650945
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 5}, 0.2274580300414773
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 3}, 0.22591050617092862
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 4}, 0.2302079402647899
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 5}, 0.23472397230241202
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'sift__nfeatures': 0, 'sift__nOctaveLayers': 3}, 0.3099250635603591
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'sift__nfeatures': 0, 'sift__nOctaveLayers': 4}, 0.3020421396100009
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'sift__nfeatures': 0, 'sift__nOctaveLayers': 5}, 0.3219061262486905
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'sift__nfeatures': 100, 'sift__nOctaveLayers': 3}, 0.30432711422071623
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'sift__nfeatures': 100, 'sift__nOctaveLayers': 4}, 0.29162472541419043
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'sift__nfeatures': 100, 'sift__nOctaveLayers': 5}, 0.2913656748788407
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'sift__nfeatures': 500, 'sift__nOctaveLayers': 3}, 0.3093646926707384
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'sift__nfeatures': 500, 'sift__nOctaveLayers': 4}, 0.30252055922730037
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 'scale', 'sift__nfeatures': 500, 'sift__nOctaveLayers': 5}, 0.32179696965930205
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 0.01, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 3}, 0.30587109890569636
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 0.01, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 4}, 0.2977903712692215
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 0.01, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 5}, 0.31593342553845355
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 0.01, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 3}, 0.2995350476742511
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 1, 'svm__kernel': 'rbf', 'svm__gamma': 0.01, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 4}, 0.286533212290777
